,lat,lon,date
9,49.116177,10.110083,1365811200000
13,52.075497,8.498955,1366588800000
16,51.500088,10.798531,1396310400000
17,51.499126,9.761353,1368057600000
23,49.735462,8.747891,1365897600000
26,47.270004,11.378526,1366502400000
27,51.405067,7.191024,1365897600000
38,49.423481,8.379006,1373673600000
46,51.644867,12.427597,1399161600000
55,50.174919,8.509254,1398211200000
56,51.171703,6.835299,1367712000000
59,50.513905,7.305057,1397433600000
62,50.974968,13.958288,1367539200000
70,54.344578,10.203695,1685145600000
71,49.14298,8.210024,1680652800000
72,47.05396,18.771033,1682899200000
73,48.190205,16.26843,1682553600000
74,46.271725,-0.583279,1681603200000
75,48.906272,2.040137,1586476800000
76,48.788239,8.646333,1682553600000
77,38.217314,15.871792,1692748800000
78,50.38025,4.899164,1683158400000
95,47.11346,15.547667,1682380800000
96,49.819564,8.458847,1683331200000
97,50.111312,8.293317,1682121600000
98,50.034514,8.279506,1682899200000
99,45.404618,5.285664,1680652800000
100,45.39094,5.361716,1682035200000
102,49.773687,6.239138,1649721600000
107,53.881751,9.47625,1681862400000
111,48.765921,9.196597,1683072000000
112,51.039775,2.438117,1688688000000
113,51.497913,7.031971,1683158400000
114,51.040422,2.442143,1688688000000
122,51.277069,7.04247,1682812800000
123,48.975164,5.059665,1681171200000
124,52.432045,13.327855,1682035200000
125,51.434857,7.009523,1680393600000
126,50.380239,4.899175,1683158400000
127,50.710796,7.06679,1683331200000
128,48.764812,8.675976,1683331200000
129,51.091014,6.035317,1681516800000
132,50.99921,13.864089,1682121600000
133,51.521885,7.3545,1681171200000
135,49.794285,8.260002,1651104000000
137,49.981289,8.25168,1649548800000
142,51.260437,7.106534,1650067200000
151,49.918381,11.588843,1651968000000
153,49.772583,8.116222,1650585600000
154,50.618145,6.66714,1650499200000
164,52.599762,13.388386,1651190400000
173,51.32798,6.960586,1681344000000
176,54.293404,12.719748,1651276800000
179,53.597923,10.118317,1650067200000
181,49.323925,6.62431,1682553600000
182,50.901047,8.03865,1680652800000
187,52.573586,13.206619,1681084800000
188,49.95779,9.829245,1680480000000
189,54.498981,9.840487,1650844800000
190,50.184258,8.576453,1649721600000
196,52.303272,10.611889,1650326400000
198,52.460499,13.019257,1682121600000
200,49.945698,8.454924,1681862400000
202,49.751873,8.843994,1681516800000
204,51.492737,8.258421,1681430400000
210,50.059246,7.360709,1680998400000
214,50.96384,6.25791,1648944000000
215,48.007393,7.722318,1682726400000
217,47.807838,9.650701,1651104000000
218,49.759869,7.906591,1681084800000
219,49.74617,8.766622,1649808000000
220,49.984886,8.452279,1680998400000
225,51.098618,13.763618,1680739200000
231,50.516575,9.603277,1687910400000
233,49.980675,7.892089,1680566400000
235,48.079136,11.615623,1649635200000
237,49.784367,8.192883,1682208000000
238,52.07711,11.760666,1654992000000
242,50.213146,8.575138,1680998400000
251,50.916271,13.348051,1651276800000
252,53.597919,10.118306,1649376000000
253,53.597885,10.118298,1680480000000
258,49.488968,8.663417,1681776000000
264,51.225952,6.455558,1681776000000
266,49.96748,8.585815,1681084800000
267,54.342148,12.739234,1649894400000
271,50.306145,8.602847,1681430400000
278,48.817387,9.371821,1682208000000
283,51.572937,6.313996,1649548800000
284,50.51685,9.603214,1680566400000
285,53.597923,10.118309,1680998400000
287,49.542999,8.341,1649980800000
290,49.988605,8.843081,1681430400000
291,50.364162,8.537503,1682812800000
295,54.499043,9.840136,1650758400000
296,54.174694,12.031918,1657584000000
299,49.080002,12.05,1661299200000
301,50.552826,7.291318,1680739200000
302,54.499046,9.84014,1650931200000
303,52.510746,13.531978,1681948800000
304,50.473793,7.207555,1683331200000
305,41.502087,0.674093,1649894400000
308,50.901077,8.038995,1681689600000
309,51.225937,6.455544,1682640000000
311,49.726242,8.127163,1682035200000
316,50.826149,6.461463,1649289600000
324,49.998802,8.908753,1680739200000
328,49.996525,8.905696,1681084800000
333,49.717049,8.83518,1680566400000
334,51.534,7.44638,1681430400000
336,48.124081,11.706927,1682121600000
337,52.623581,13.37326,1680998400000
339,51.526855,7.376875,1680566400000
340,53.597855,10.118288,1680825600000
347,47.807838,9.650695,1649462400000
356,52.289215,9.519227,1650240000000
360,49.759872,7.906587,1683072000000
361,49.930672,8.890686,1683331200000
364,49.34222,8.643686,1649635200000
368,49.806629,9.917747,1680480000000
369,52.498192,13.586751,1682899200000
371,51.286835,9.454159,1680652800000
373,52.2463,10.723847,1654473600000
378,48.872131,8.820594,1651363200000
379,51.225952,6.455509,1681948800000
384,49.42775,10.994473,1650672000000
385,51.1073,13.750115,1681084800000
386,50.834259,7.117567,1680566400000
389,50.85033,12.889627,1649635200000
392,52.480534,9.726828,1681084800000
396,48.460999,7.877,1682121600000
400,54.49905,9.840158,1649980800000
404,52.462807,13.414779,1682812800000
407,52.536167,13.492563,1681344000000
409,50.068043,9.660274,1680480000000
410,49.908909,8.651783,1681862400000
411,54.091347,12.094231,1649721600000
412,50.167725,8.570917,1684195200000
415,52.278778,10.542645,1684281600000
416,53.5979,10.1183,1680393600000
417,48.036373,7.58091,1682726400000
418,50.713959,6.384865,1683417600000
420,47.792198,12.419611,1649980800000
421,54.329731,10.058629,1586131200000
422,53.597881,10.118318,1649808000000
423,49.991741,8.238287,1681689600000
426,48.807819,9.321056,1682553600000
429,52.420731,13.020304,1682035200000
430,51.400959,6.691946,1681084800000
431,54.348423,10.116928,1651104000000
440,51.037037,13.728463,1681257600000
442,48.07246,7.675581,1681516800000
444,48.939999,12.058,1681689600000
449,54.499092,9.840065,1650067200000
451,52.401989,9.811272,1682726400000
455,49.916729,11.585865,1680825600000
459,50.550793,8.512142,1683331200000
460,54.499058,9.840153,1650240000000
462,53.25378,10.40062,1649808000000
464,49.715557,8.355,1682208000000
465,50.792519,12.931861,1650672000000
468,49.11356,8.509343,1681689600000
474,50.850895,12.907364,1682208000000
481,48.872292,8.819717,1649721600000
483,52.334248,10.246902,1649894400000
487,53.243877,10.400276,1682208000000
491,53.174046,10.351972,1650758400000
492,48.499943,7.944807,1680393600000
495,51.225952,6.455552,1681171200000
498,51.160999,6.426,1691625600000
499,49.799999,8.6,1649548800000
502,50.739315,8.296651,1680480000000
504,49.323929,8.124093,1680307200000
507,51.286835,9.45416,1680566400000
511,48.942989,9.296546,1682899200000
519,53.597912,10.118296,1649635200000
525,49.373924,8.707341,1682208000000
526,50.704868,6.627252,1681257600000
536,52.269085,10.546888,1649808000000
538,52.473598,13.289943,1649721600000
540,50.10112,8.450974,1682812800000
541,51.449326,10.578632,1652140800000
547,49.71114,8.241452,1649203200000
549,50.916317,13.347968,1651276800000
550,50.69054,6.134355,1680566400000
551,49.399071,7.245018,1681084800000
555,51.930058,7.97159,1680652800000
562,51.073772,14.956394,1680566400000
563,52.413765,13.432802,1650931200000
565,50.90099,8.039063,1685145600000
566,48.462318,7.982926,1649635200000
570,49.797119,8.256813,1681430400000
572,50.323814,7.957445,1649808000000
574,48.114685,11.655682,1682812800000
577,50.18319,8.663189,1555372800000
578,50.187156,31.813668,1682640000000
579,52.008113,8.701065,1618185600000
580,49.965866,34.588562,1650931200000
581,49.602641,11.015408,1585699200000
582,51.346021,12.357036,1681344000000
583,47.566806,7.59609,1683158400000
584,51.467128,10.307927,1684368000000
585,48.194759,11.87588,1686096000000
586,47.566722,7.595614,1586217600000
587,50.791633,7.207158,1682121600000
588,51.303024,7.321258,1683849600000
590,51.168889,7.315556,1681862400000
595,52.002857,9.692105,1681344000000
604,51.250542,9.391172,1681430400000
613,51.07547,6.90081,1681430400000
622,51.113976,10.123944,1682553600000
633,47.771925,16.764477,1681948800000
642,53.589917,10.072496,1682812800000
655,47.678815,9.380501,1681516800000
659,51.512425,9.897555,1681344000000
694,50.715943,7.291185,1680739200000
708,51.281363,9.455035,1682553600000
713,51.328304,6.670733,1680912000000
714,50.715944,7.291054,1680739200000
728,49.757561,6.647856,1680566400000
729,52.36701,9.70818,1680566400000
736,50.55364,8.510611,1680739200000
737,51.534836,6.705348,1680652800000
740,54.416308,10.28483,1681084800000
741,52.25636,10.365497,1681948800000
761,51.070662,10.000262,1680566400000
762,51.431313,7.21095,1682035200000
771,49.527199,5.455739,1681344000000
784,51.261411,9.31456,1680739200000
786,50.060784,1.363921,1680566400000
788,52.369617,9.64775,1682121600000
798,52.036365,8.545887,1681171200000
805,51.054589,8.80508,1680480000000
815,52.203655,9.090834,1680652800000
816,51.934401,7.678463,1680652800000
822,49.620517,6.541445,1680480000000
835,49.620513,6.541463,1680480000000
841,54.309247,10.16257,1680652800000
842,47.786896,13.059663,1680652800000
845,51.935844,7.150956,1680566400000
847,46.479041,1.450411,1682640000000
854,51.280188,7.282122,1680566400000
858,53.648555,9.790217,1680739200000
864,50.883229,6.98208,1681084800000
874,51.055454,13.85677,1680307200000
885,51.07547,6.900803,1681430400000
886,47.802511,13.046637,1681257600000
889,51.396729,7.031787,1680652800000
893,52.145438,9.952487,1680825600000
917,51.157623,7.148416,1681430400000
919,51.277687,9.446922,1680825600000
921,51.260142,7.160939,1680480000000
922,49.357138,8.69887,1680480000000
931,44.27368,5.313175,1681603200000
935,54.225842,10.265339,1680393600000
941,45.216824,0.905896,1680652800000
949,50.7507,7.159337,1680480000000
964,51.884625,9.624719,1680825600000
971,51.277737,9.446903,1680739200000
975,51.103425,6.283573,1680912000000
976,52.3722,9.853317,1680825600000
988,52.002838,9.692045,1681344000000
989,52.305295,10.462858,1680566400000
990,50.605927,3.080449,1680566400000
991,51.111472,7.09443,1681430400000
992,50.652778,7.23,1680652800000
999,52.288666,10.408247,1680825600000
1000,51.851685,12.210614,1680825600000
1002,51.900772,7.192519,1681430400000
1007,52.200504,9.084069,1680566400000
1008,51.03155,13.79602,1682812800000
1019,51.176996,7.183682,1682899200000
1024,49.715343,9.438946,1680912000000
1025,51.110589,6.945769,1681430400000
1027,50.997145,7.052026,1681344000000
1030,52.118303,8.69263,1680652800000
1044,51.769347,8.574842,1681084800000
1047,51.679645,6.939283,1681603200000
1054,47.762357,9.308169,1680566400000
1072,51.960083,8.673753,1680566400000
1073,51.601593,6.37684,1680480000000
1079,48.838737,2.667458,1681603200000
1085,51.423854,7.335312,1682467200000
1086,54.314704,10.070592,1681948800000
1089,51.146147,6.86571,1681430400000
1094,51.840215,12.239899,1683331200000
1095,50.097661,8.450946,1685836800000
1112,50.375237,2.81412,1681603200000
1118,49.909923,7.01377,1680566400000
1120,52.339721,9.775735,1680739200000
1137,51.422222,7.084167,1680566400000
1158,51.663546,6.450526,1680739200000
1173,51.93438,7.678414,1682208000000
1176,50.494603,9.108846,1683417600000
1178,51.187743,10.083389,1655078400000
1180,47.491457,8.292283,1680393600000
1190,53.18666,7.612359,1651622400000
1201,51.303064,7.321236,1685318400000
1202,52.272278,10.559963,1650240000000
1214,51.302997,7.321279,1682985600000
1216,49.993181,8.447402,1680652800000
1221,47.359212,8.451164,1680652800000
1222,51.197612,9.648319,1650067200000
1224,52.291779,9.767112,1680652800000
1228,51.848206,6.435589,1650672000000
1229,51.071219,7.346297,1651708800000
1232,51.307063,9.432069,1651190400000
1233,52.209737,10.004081,1650067200000
1238,47.762519,9.308159,1682294400000
1239,48.286105,11.905013,1682726400000
1244,48.774783,8.216705,1681171200000
1253,51.303,7.31661,1649548800000
1254,49.991193,8.021709,1651190400000
1255,51.260615,7.106112,1650067200000
1258,51.212249,7.005241,1650585600000
1264,50.043808,8.048207,1681603200000
1271,52.008847,10.137053,1682726400000
1272,50.913616,9.446497,1650326400000
1273,49.518698,7.721053,1650240000000
1284,51.166613,6.283608,1680480000000
1290,52.287137,9.48188,1651708800000
1291,42.343304,-3.699303,1651363200000
1293,51.844041,12.242072,1651276800000
1297,51.570968,10.214436,1681516800000
1302,51.30301,7.321279,1685059200000
1303,50.208237,9.280367,1650412800000
1304,51.76944,8.574883,1650153600000
1307,53.173157,8.158345,1681603200000
1311,51.655314,7.125226,1650153600000
1317,51.470767,7.417962,1650153600000
1333,50.14222,8.348728,1650067200000
1349,42.348995,-3.705315,1680912000000
1359,51.222768,6.583098,1680739200000
1363,48.286087,11.904903,1682208000000
1373,48.088959,11.56052,1680825600000
1375,51.502362,7.460639,1680652800000
1383,45.637413,14.995942,1682553600000
1385,51.285353,9.607826,1651881600000
1387,51.335419,9.415724,1681344000000
1388,52.27217,10.559879,1650240000000
1389,50.101741,8.96571,1650067200000
1405,51.21,7.124722,1650153600000
1406,48.210375,16.222921,1682208000000
1409,52.679693,7.517468,1682208000000
1412,51.949316,7.621775,1681430400000
1416,51.30305,7.321258,1684108800000
1425,52.389425,10.25696,1681344000000
1430,52.372158,9.853122,1682640000000
1431,51.583645,7.05352,1682553600000
1432,51.994763,7.464147,1682553600000
1442,54.27957,10.096439,1682294400000
1445,52.322804,10.540815,1682294400000
1448,46.598675,17.867334,1682121600000
1452,51.374512,7.137222,1681430400000
1466,51.576965,6.991349,1681603200000
1467,54.327239,10.203508,1680393600000
1479,47.824155,13.106998,1650758400000
1483,53.173157,8.158393,1682208000000
1490,50.149295,8.526272,1681430400000
1492,52.251471,10.915817,1651363200000
1493,50.223121,8.985914,1651190400000
1498,51.303029,7.321236,1680480000000
1504,49.448487,8.158164,1682208000000
1520,51.919952,7.526554,1681430400000
1525,51.611272,7.110278,1681344000000
1526,51.111586,6.891015,1682208000000
1537,51.109116,7.014373,1681344000000
1539,50.180419,8.661292,1681430400000
1547,51.443764,7.012836,1681862400000
1552,47.762511,9.308295,1681430400000
1558,50.799258,6.137153,1681516800000
1562,51.295978,9.520429,1651104000000
1565,51.59275,7.155998,1681430400000
1570,52.209765,10.004095,1651276800000
1572,51.767043,6.289358,1682294400000
1587,52.549242,13.435593,1683504000000
1591,49.923467,4.230517,1680912000000
1592,51.619147,6.19146,1650153600000
1608,52.177905,10.486075,1650240000000
1614,52.290322,9.22347,1680825600000
1615,50.895325,8.987431,1650153600000
1618,51.486891,9.951427,1681430400000
1620,51.181667,6.714444,1682208000000
1621,51.282938,12.443312,1682208000000
1625,51.390064,7.191423,1680998400000
1635,49.025395,9.343312,1680739200000
1637,51.496233,8.445184,1681084800000
1638,51.460905,7.216427,1681084800000
1659,52.281967,8.027639,1682121600000
1664,50.529143,8.678802,1681084800000
1668,38.381961,20.71944,1680739200000
1672,54.339242,10.139883,1680739200000
1685,51.419815,7.163538,1680912000000
1687,52.67492,7.500749,1681603200000
1688,50.924201,6.797533,1681430400000
1691,51.301604,7.316583,1682640000000
1700,51.59257,7.155964,1681430400000
1714,47.888461,16.919208,1682121600000
1716,51.303024,7.321301,1684454400000
1723,51.514771,9.935622,1680739200000
1733,51.318481,6.749653,1681171200000
1745,51.342804,9.439259,1681344000000
1760,48.163707,11.497353,1681084800000
1767,50.985439,13.630235,1684540800000
1769,49.188264,8.936784,1680825600000
1782,48.689211,9.501091,1681603200000
1786,51.197602,9.648263,1652572800000
1792,54.776215,9.457428,1680652800000
1796,54.306809,10.205696,1680652800000
1798,50.764099,8.91036,1680566400000
1799,51.078217,6.906902,1680566400000
1804,52.140504,10.782348,1681430400000
1811,51.389271,7.02633,1680480000000
1812,50.639125,3.1783,1680652800000
1815,50.974109,7.143014,1680566400000
1816,54.314779,10.070215,1680566400000
1818,51.183634,6.871245,1680652800000
1832,51.676236,6.042561,1680912000000
1837,52.140817,10.774228,1680825600000
1847,51.132568,6.361423,1680652800000
1860,50.281801,8.214221,1680739200000
1864,52.289228,9.519367,1680393600000
1865,50.977879,11.028964,1681344000000
1874,49.978496,8.075334,1680566400000
1875,52.482222,13.355,1680739200000
1891,51.301512,7.316323,1680480000000
1894,52.002834,9.692108,1681344000000
1895,51.010702,6.857405,1680739200000
1909,49.620483,6.541483,1680480000000
1915,48.775168,9.155735,1680652800000
1920,47.739272,7.675203,1681430400000
1924,51.888667,9.634381,1680825600000
1930,51.195337,6.762987,1680652800000
1931,54.314694,10.070686,1680566400000
1938,42.339779,-3.697949,1680825600000
1948,51.130027,9.530915,1681171200000
1953,51.30191,7.316001,1683936000000
1958,51.233705,6.833651,1681430400000
1959,48.7043,9.218072,1680739200000
1960,49.802737,6.832592,1680912000000
1961,52.080928,7.314425,1680566400000
1963,51.362656,7.134888,1680480000000
1964,51.738613,7.185217,1680480000000
1968,51.848008,6.071175,1680566400000
1971,51.193304,6.971748,1680480000000
1975,49.891944,8.228889,1680739200000
1976,50.038395,8.958541,1680480000000
1984,48.584458,8.012096,1680825600000
1985,51.277839,9.383856,1680825600000
1986,51.267027,7.165312,1680739200000
1987,51.877975,9.201685,1680739200000
1988,39.44583,3.177592,1680912000000
1990,50.242055,8.725884,1681084800000
1992,49.92342,4.230447,1680912000000
1993,51.508811,11.894512,1680739200000
1994,49.954442,7.026629,1650844800000
2003,51.850466,7.199467,1681344000000
2005,50.924102,6.797576,1681430400000
2010,51.538545,9.936967,1680652800000
2012,42.989197,-3.948738,1680566400000
2015,52.327134,10.676165,1680825600000
2018,52.370077,9.726748,1680652800000
2023,51.266807,7.165503,1680652800000
2027,51.186044,6.801999,1680652800000
2029,51.344188,6.261384,1680566400000
2030,52.304481,9.492519,1680566400000
2039,53.093784,8.743828,1680393600000
2050,49.046448,0.731728,1680652800000
2051,51.582892,8.034416,1680566400000
2072,49.988439,8.842922,1680480000000
2074,51.74404,7.1793,1681344000000
2084,51.614452,7.182481,1680825600000
2088,51.957283,7.572017,1680652800000
2101,49.933767,8.873145,1681171200000
2106,47.824564,16.043175,1683504000000
2124,50.687917,6.356012,1680566400000
2126,51.218842,6.572926,1680566400000
2141,52.189668,8.689053,1680739200000
2148,51.281828,9.988789,1681171200000
2163,51.299671,11.832956,1680825600000
2165,54.478563,11.014578,1680652800000
2166,49.715496,9.439035,1680480000000
2177,49.923447,4.230537,1680912000000
2178,51.523349,6.765175,1680912000000
2181,50.130794,9.417342,1680652800000
2186,51.582784,8.034375,1680652800000
2188,51.04238,13.757593,1680825600000
2189,50.974053,7.142876,1680566400000
2192,51.527866,11.983315,1680307200000
2199,52.15825,10.780581,1680825600000
2205,50.083045,8.509402,1680480000000
2211,51.999791,8.515755,1680393600000
2217,51.302987,7.321317,1683331200000
2219,51.687582,12.273476,1680307200000
2233,52.366971,9.708119,1680307200000
2236,51.516672,7.514442,1680393600000
2247,51.158691,7.121617,1680566400000
2254,51.716992,7.100464,1680566400000
2256,53.137513,7.622575,1680652800000
2260,50.879558,6.398028,1680480000000
2261,53.648716,9.78992,1680393600000
2265,50.924641,13.978083,1680307200000
2266,52.146795,9.976066,1682208000000
2285,52.256658,10.502076,1680566400000
2286,51.928742,7.573194,1680480000000
2291,51.396687,7.031693,1680652800000
2294,53.805992,10.353645,1681516800000
2296,50.922598,6.801783,1681430400000
2299,52.383009,9.750381,1680739200000
2301,51.799498,6.365734,1680912000000
2323,49.681194,10.877878,1680739200000
2328,48.109955,11.550369,1684108800000
2329,52.145233,9.953039,1680825600000
2331,52.36711,9.708097,1680652800000
2336,51.934411,7.678519,1680739200000
2345,51.956782,7.572377,1681776000000
2347,50.107526,8.586368,1680739200000
2350,51.957377,7.571978,1680652800000
2354,49.179718,8.642755,1681430400000
2366,48.584737,8.012305,1680825600000
2367,54.309247,10.162478,1680652800000
2370,49.978448,8.075092,1680566400000
2374,52.66956,7.512254,1681603200000
2375,50.710117,6.18167,1680912000000
2376,52.162815,8.849653,1680825600000
2384,48.058304,5.570449,1680825600000
2386,51.703611,7.76,1680566400000
2390,54.31949,10.122447,1681430400000
2406,51.608093,7.397441,1682726400000
2415,51.423866,7.335405,1680739200000
2427,52.243927,10.819119,1680825600000
2429,51.530833,9.919444,1680652800000
2443,45.737433,4.784637,1681344000000
2449,52.291962,9.76698,1682553600000
2458,49.70895,11.27468,1680825600000
2468,54.289001,10.164125,1680825600000
2474,49.447247,8.607326,1680566400000
2477,50.652908,7.229855,1680652800000
2490,49.49207,7.854308,1680652800000
2491,54.31474,10.070574,1680566400000
2495,49.762054,9.952506,1680652800000
2496,51.158661,7.121639,1680566400000
2499,51.936609,7.598705,1682553600000
2509,51.260894,7.106203,1682553600000
2510,48.081545,16.32199,1680739200000
2514,47.791306,12.960712,1682899200000
2515,49.978486,8.075239,1680652800000
2518,52.243132,9.869208,1682208000000
2530,52.526765,9.739685,1680739200000
2535,50.596917,6.743057,1680480000000
2540,51.268526,6.559767,1680566400000
2558,51.608047,7.397294,1682121600000
2576,51.582474,6.717788,1680998400000
2584,51.216583,6.904318,1681603200000
2592,48.374336,7.903043,1681084800000
2595,51.132446,6.36145,1680652800000
2605,48.142139,11.504531,1682208000000
2610,50.361816,1.671724,1680825600000
2611,45.737488,4.784766,1681344000000
2619,50.553605,8.510591,1680739200000
2626,49.752737,6.644492,1680652800000
2627,46.490761,3.009864,1681171200000
2629,52.145192,9.953106,1680825600000
2630,51.776192,6.464128,1680566400000
2634,50.768555,6.04047,1682553600000
2636,51.457958,9.311678,1681516800000
2643,52.398547,9.69725,1682640000000
2645,52.203655,9.090854,1680652800000
2653,50.9693,11.34721,1683590400000
2656,52.372157,9.852829,1682640000000
2665,42.339939,-3.696805,1680912000000
2680,50.638342,3.161963,1680480000000
2687,51.458609,7.766273,1680480000000
2688,50.077797,8.505181,1680912000000
2689,51.310178,9.540829,1680739200000
2705,47.817152,13.093512,1682035200000
2711,46.115662,3.682878,1682208000000
2740,51.680847,6.494521,1682726400000
2745,50.763487,7.305018,1680480000000
2751,51.956883,7.572418,1681084800000
2754,48.088989,11.56048,1680825600000
2755,49.381129,8.576581,1461888000000
2768,51.611288,7.110086,1680480000000
2786,51.061157,13.751162,1617926400000
2787,52.163617,8.850352,1682208000000
2793,50.336958,10.7741,1652832000000
2801,51.611345,7.110092,1682208000000
2803,51.531445,9.033731,1683504000000
2804,50.804428,6.3469,1649808000000
2808,51.848211,6.435614,1650672000000
2815,49.684818,8.658299,1619913600000
2816,49.714296,8.352442,1651881600000
2819,52.906445,11.321023,1682553600000
2827,52.36622,9.676247,1680825600000
2843,51.302384,7.3173,1650758400000
2845,50.138185,8.303361,1650240000000
2846,51.28592,6.655585,1650240000000
2852,50.722748,7.113093,1651190400000
2857,51.045765,10.030818,1681862400000
2867,51.29246,9.473059,1650067200000
2872,49.991222,8.021715,1651104000000
2875,50.142236,8.34873,1650067200000
2877,48.525295,2.66847,1649980800000
2880,51.110916,6.955261,1460332800000
2881,50.36853,8.886297,1682467200000
2883,51.598522,9.128437,1650240000000
2884,50.75733,6.169654,1650153600000
2885,51.282925,12.443542,1682208000000
2888,52.902977,8.206537,1650153600000
2889,50.14235,8.348583,1651190400000
2890,51.277728,9.38386,1651104000000
2891,48.525303,2.668142,1649980800000
2892,53.005997,-1.159407,1651276800000
2893,51.470991,6.919751,1650758400000
2894,51.296111,9.456667,1651363200000
2895,50.758562,6.28331,1650758400000
2903,51.629667,7.553054,1650240000000
2904,50.791572,6.087389,1650758400000
2910,50.142292,8.348672,1651190400000
